,Headline,Body ID,Stance
344,Meteorite strike in Nicaragua puzzles experts,715,discuss
345,Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,2287,unrelated
346,Zack Snyder Makes Fun of Stolen Batmobile Rumor with New Image,964,unrelated
347,Small red book among finds in 113-year-old Boston time capsule,690,unrelated
348,Kurds fear Isis use of chemical weapon in Kobani,1253,unrelated
349,New Audio Shows Michael Brown Was Shot at 11 Times,1569,unrelated
350,DHS Rebuffs Congressman’s Claim ISIS Infiltrating Southern Border,2367,disagree
351,Luke Somers 'killed in failed rescue attempt in Yemen',298,unrelated
352,Anna Wintour: Is Rat Infestation At NYC ‘Vogue’ Office Kim Kardashian’s Fault?,1737,unrelated
353,"No, there aren’t any Ebola cases in Iraq",2003,discuss
354,URGENT: ISIS kills 300 Iraqi soldiers by chlorine gas attack in Saqlawiyah,969,agree
355,This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,311,unrelated
356,Ferguson riots: audio may have captured Michael Brown shooting,1803,unrelated
357,"ISIS Claims an American Hostage, Kayla Mueller, Died in Airstrike in Syria",2260,unrelated
358,Did Paul Rudd Help Tackle That Dallas Airport Gay-Basher?,1844,unrelated
359,WAS NBC METEOROLOGIST MIKE SEIDEL PEEING IN THE SNOW ON CAMERA? A TESTY BRIAN WILLIAMS EXPLAINS,1968,discuss
360,Canadian Soldier Shot At Ottawa War Memorial: Report,373,unrelated
361,ISIS Extremists Claim to Behead British Hostage David Haines,1528,unrelated
362,"Boko Haram agrees to ceasefire, release of school girls",2356,discuss
363,Led Zeppelin’s Robert Plant ripped up a $924 million reunion contract,2223,unrelated
364,"‘Teletubbies’ Sun Baby: Fans Freak Out Over Jess Smith, 19",1009,unrelated
365,"Nigeria, Boko Haram reach ceasefire deal, kidnapped girls to go free, official says",1439,unrelated
366,"Boko Haram denies cease-fire, leader says he married off kidnapped girls",2096,unrelated
367,"North Korea leader Kim is still in charge, has injured leg: source",1933,unrelated
368,Report: 4 ISIS Terrorists Caught at Southern Border in 36 Hrs,570,unrelated
369,"Rumor: Gold Apple Watch Edition priced up to $5,000, steel version at $500, will debut on Feb. 14",2188,discuss
370,ISIS Reportedly Beheads U.S. Journalist James Wright Foley on Camera,2287,unrelated
371,Missing Planes,1958,discuss
372,Islamic State militants claim to behead missing American journalist,1372,unrelated
373,ISIS Militants Allegedly Contracted Ebola,1905,unrelated
374,Boko Haram ceasefire ignored as violence flares in Borno state,2139,disagree
375,Report: Missing Libyan jetliners raise fears of suicide airliner attacks on 9/11,1699,unrelated
376,Batman Set To Play Steve Jobs In Upcoming Biopic,1846,disagree
377,Tropical spider 'burrowed under man's skin through scar' - video report,1888,unrelated
378,ISIS Getting Ebola,1013,unrelated
379,Obama Denounces James Foley's Execution: 'Today The Entire World Is Appalled',1547,unrelated
380,REPORT: Alleged New Audio of Michael Brown Shooting,2235,discuss
381,"Apple Watch to Feature Time-Only 'Power Reserve' Mode, Prototypes Disguised as Samsung Watches",2423,unrelated
382,"Video showing American journalist beheaded believed real, officials and family say",2388,discuss
383,Report: Former Baseball Star Jose Canseco Accidentally Shot At Home,2078,unrelated
384,Luke Somers 'killed in failed rescue attempt in Yemen',401,unrelated
385,Nicaragua Meteorite Impact Theory May Be Meteor-wrong,1627,unrelated
386,"No, that high school kid didn't make $72 million trading stocks",2407,agree
387,ISIL video claims beheading of kidnapped journalist James Foley,2304,unrelated
388,Tiger Woods serving secret PED suspension?,757,discuss
389,Pentagon confirms al-Shabab leader killed in airstrike in Somalia,1084,agree
390,Pictured: Libyan Islamist rebels pose with planes seized from Tripoli airport as U.S. officials warn they could be used to carry out terrorist attack on 9/11 anniversary,1958,agree
391,"Christian Bale in talks to play Steve Jobs for Sony, Danny Boyle",1702,unrelated
392,This Is Why Rumors That ISIS Is Crossing The Border Into The U.S. Aren’t Going Away,108,discuss
393,Nicaragua meteorite: Experts attempt to understand whether mysterious meteorite fell from passing Pitbull asteroid,2154,discuss
394,"Cook said to confirm Apple Watch is showerproof, lasts a day",121,unrelated
395,Mum Offers to Sell Twin Boy to Save Twin Girl,1627,agree
396,"McDonald’s Removing Big Mac, Apple Pies And Eliminating Large Size Options",776,unrelated
397,Cold Turkey,1949,agree
398,Founding Fathers-Era Time Capsule Found in Boston,2061,unrelated
399,ISIS Appears To Behead American Photojournalist In YouTube Video,1261,unrelated
